restaurant;online_order;book_table;rate;votes;phone;location;rest_type;dish_liked;cuisines;address;approx_cost;listed_in_type
"Corner House Ice Cream";No;No;4.3;345;"080 26713965
+91 9845444155";Banashankari;"Dessert Parlor";"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse";"Ice Cream, Desserts";"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore";400;Desserts
"Poonam Sweets";No;No;4.4;356;"080 26714711
+91 9844188316";Banashankari;"Sweet Shop";"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori";Mithai;"43, BDA Complex, 2nd Stage, Banashankari, Bangalore";150;Desserts
"XO Belgian Waffle";Yes;No;3.7;17;"+91 9920950331";Banashankari;"Dessert Parlor";NULL;"Desserts, Beverages";"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore";400;Desserts
"Old Mumbai Ice Cream";Yes;No;3.9;38;"080 49652445";Banashankari;"Dessert Parlor";"Friendly Staff";"Ice Cream";"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore";150;Desserts
"Cake of the Day";No;No;3.7;78;"080 22977725";Banashankari;"Bakery, Dessert Parlor";NULL;Bakery;"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore";150;Desserts
"Amma's Pastries";No;No;3.8;60;"+91 9590607750";Banashankari;"Dessert Parlor";NULL;Bakery;"57/18, 12th Main, Opposite PES College, Banashankari, Bangalore";400;Desserts
"Kanti Sweets";Yes;No;4;115;"080 22960617
080 41726564";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"374/B, 2nd Phase, BSK 3rd Stage, Srinivasa Nagar, Banashankari, Bangalore";400;Desserts
"Sugar Rush";No;No;3.8;39;"+91 9916366551";Banashankari;Bakery;NULL;"Bakery, Desserts";"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore";300;Desserts
"Polar Bear";Yes;No;3.9;116;"080 45128775";Banashankari;"Dessert Parlor";"Sandwiches, Hot Chocolate Fudge, Strawberry Milkshake";"Ice Cream, Desserts, Beverages, Sandwich";"79, 21st Main, 2nd Stage, Banashankari, Bangalore";400;Desserts
"San Churro Cafe";Yes;No;3.8;918;"+91 9663487993";Banashankari;"Cafe, Casual Dining";"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza";"Cafe, Mexican, Italian";"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore";800;Desserts
"Anand Sweets and Savouries";No;No;3.7;46;"080 26716111
080 42124151";Banashankari;"Sweet Shop, Quick Bites";NULL;"Mithai, Street Food";"70, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore";400;Desserts
Ibaco;Yes;No;3.9;41;"091 9972169534";Banashankari;"Dessert Parlor";NULL;Desserts;"Shop 58, 50 Feet Road, Opposite to Kathriguppe Water Tank, 1st Block, 3rd Stage, 1st Block, Banashankari, Bangalore";300;Desserts
"Kirthi's Biryani";Yes;No;3.8;144;"080 26711554
+91 9741406338";Banashankari;Cafe;"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails";"Chinese, Cafe, Italian";"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore";700;Desserts
"The Lassi and Juice Park";No;No;3.8;28;"+91 7892197270";Banashankari;"Beverage Shop, Dessert Parlor";NULL;"Juices, Desserts";"11/2, 50 Feet Road, Muneshwara Block, Near Girinagar, Banashankari, Bangalore";150;Desserts
"Stoned Monkey";Yes;No;4.3;860;"+91 9972710694
+91 9972710894";Banashankari;"Dessert Parlor";"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu";"Desserts, Ice Cream";"415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore";500;Desserts
"Parimala Sweets";No;No;3.5;14;"+91 9738013203
080 49524132";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"1142, 22nd Cross, 30th Main, Banashankari, Bangalore";200;Desserts
"The Big O Bakes";No;No;4;66;"+91 9845216137";Banashankari;Bakery;NULL;"Bakery, Desserts";"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore";300;Desserts
"Shree Mahalakshmi Sweets";Yes;No;3.2;8;"+91 7899900144";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore";100;Desserts
Keventers;Yes;No;3.7;54;"080 49652198";Banashankari;"Beverage Shop, Dessert Parlor";NULL;"Desserts, Beverages, Ice Cream";"2465, 24th Cross, 2nd Stage, Banashankari, Bangalore";400;Desserts
"Dessert Rose";No;No;3.5;7;"+91 7829604777";Banashankari;"Dessert Parlor";NULL;Desserts;"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore";500;Desserts
"Thanco's Natural Ice Creams";No;No;3.2;9;"080 41477334
+91 9900260006";Banashankari;"Dessert Parlor";NULL;"Ice Cream";"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore";300;Desserts
"Corner Stone";No;No;3.6;42;"+91 9342855551";Banashankari;"Beverage Shop, Quick Bites";NULL;"Beverages, Juices, Desserts, Italian";"294, 100 Feet Road, Next to Mane Thindi Hotel, Near Deve Gowda Petrol Bunk, 3rd Stage, Banashankri, Bangalore";300;Desserts
Kaggis;No;No;3.8;64;"+91 9900191258
080 26509710";Banashankari;"Quick Bites";NULL;"Fast Food, Bakery";"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore";250;Desserts
"Cocoa Bakes";Yes;No;3.6;14;"080 26711320
+91 9449949862";Banashankari;Bakery;NULL;"Bakery, Desserts";"2466, 24th Cross Road, Siddanna Layout, Stage II, Banashankari, Bangalore";350;Desserts
"Floured-Baked With Love";No;No;3.8;45;"+91 9845552266
+91 9845552288";Banashankari;"Takeaway, Delivery";"Cup Cake, Chocolate Cake";Bakery;"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore";400;Desserts
"CAFE NOVA";No;No;3.2;11;"+91 8971090261";Banashankari;Cafe;NULL;"Cafe, Bakery";"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore";600;Desserts
"Cakes & Slices";No;No;3.5;13;"+91 9845174427
080 25908416";Banashankari;Bakery;NULL;"Bakery, Desserts";"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore";300;Desserts
"Arun Ice Cream";No;No;3.4;7;"+91 9448736143";Banashankari;"Dessert Parlor";NULL;"Ice Cream, Desserts";"24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bangalore";150;Desserts
"Just Bake";No;No;3.4;8;"+91 9535674477
080 26420777";Banashankari;Bakery;NULL;"Bakery, Desserts";"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore";400;Desserts
"Dharwad Line Bazaar Mishra Pedha";No;No;NULL;0;"+91 9901539269";Banashankari;"Dessert Parlor";NULL;Mithai;"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore";150;Desserts
"Cake Bite";No;No;NULL;0;"+91 8277102303";Banashankari;Bakery;NULL;Bakery;"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore";300;Desserts
"Kwality Wall's Swirl's Happiness Station";No;No;2.9;25;"+91 9742787111";Banashankari;"Dessert Parlor";NULL;"Ice Cream, Desserts";"590, 24th Cross, 2nd Stage, Banashankari, Bangalore";200;Desserts
"Melting Melodies";No;No;NULL;0;"+91 8970474798
+91 8747977555";Banashankari;Bakery;NULL;Bakery;"#187/G, 3rd A Cross, 4th Main Road, 80ft Road, Dr Vishnuvardhan Circle Bhuvaneshwari Nagar, BSK 3rd, Stage, 5th Block, Phase 3, Banashankari, Bangalore";300;Desserts
"Sweet N Swirl";No;No;3.2;17;"+91 9986693495";Banashankari;"Dessert Parlor";NULL;"Desserts, Ice Cream";"18/22, 22nd Main, 80 Feet Road, Hanumanth Nagar, 3rd Stage, Banashankari, Bangalore";150;Desserts
"Me And My Cake";No;No;NULL;0;"+91 9036070410";Banashankari;Delivery;NULL;"Bakery, Desserts";"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore";500;Desserts
"Mukesh Sweet Centre";No;No;NULL;0;"+91 9902147590";Banashankari;"Sweet Shop";NULL;Mithai;"Opposite BDA Complex, Siddanna Layout, Stage 2, Banashankari, Bangalore";300;Desserts
Darkolates;No;No;NULL;0;"+91 9901215056";Banashankari;Confectionery;NULL;Desserts;"66, Benaka, 2nd Cross, 2nd Main, Kathriguppe East, 3rd Stage, Banashankari, Bangalore";200;Desserts
"Sai Super Sandwich";Yes;No;NULL;0;"+91 9535736455
+91 9880156554";Banashankari;"Quick Bites";NULL;"Sandwich, Beverages";"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore";200;Desserts
"Sweet Truth";Yes;No;3.9;35;"+91 7710055553";Banashankari;Delivery;NULL;"Bakery, Desserts";"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore";500;Desserts
"Waffle-A-Go Go";Yes;No;3.9;70;"+91 9900281611";Banashankari;"Dessert Parlor";Waffles;"Fast Food, Desserts, Ice Cream";"599, 24th Cross, 2nd Stage, Banashankari, Bangalore";400;Desserts
"Gopi Ice Creams";No;No;NULL;0;"+91 9844203098
+91 7760539140";Banashankari;"Dessert Parlor";NULL;"Ice Cream";"57, 2nd Main Road, 3rd Cross, KEB Road, Ittamadu, Stage 3, Banashankari, Bangalore";100;Desserts
"Sri Venkateshwara Sweet Meat Stall";No;No;4;98;"080 26677131";Basavanagudi;"Sweet Shop, Quick Bites";"Mysore Pak, Pav Bhaji, Chaat, Masala Poori, Badam Milk, Paratha, Panipuri";"Mithai, Street Food, North Indian, Chinese";"115/116, Gandhi Bazar Main Road, Basavanagudi, Bangalore";400;Desserts
"Baskin Robbins";No;No;3.7;25;"080 41155411";Basavanagudi;"Dessert Parlor";NULL;"Ice Cream, Desserts";"74, Shankar Market, Vanivillas Road, Basavanagudi, Bangalore";250;Desserts
Redberrys;Yes;No;4;219;"+91 9148421256";Basavanagudi;Cafe;"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam";"Cafe, Italian";"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore";600;Desserts
"Amande Patisserie";Yes;No;4;73;"080 26761080";Basavanagudi;Bakery;"Macaroon, Mousse, Caramel Eclair";"Bakery, French, Desserts";"115, 4th Main, 4th Stage, Thyagarajanagar, Near, Basavanagudi, Bangalore";300;Desserts
"Srinivasa Brahmins Bakery";No;No;3.6;16;"080 26600983";Basavanagudi;"Bakery, Quick Bites";NULL;"Bakery, Street Food";"125, 1st Floor, Abalashram Building, DV Gundappa Road, Basavanagudi, Bangalore";150;Desserts
"Jain Bakes";No;No;3.6;8;"080 41141515
+91 9886848514";Basavanagudi;Bakery;NULL;"Bakery, Desserts";"129, D.R.Complex, DVG Road, Basavanagudi, Bangalore";250;Desserts
"Cake Ghar";Yes;No;3.8;15;"+91 9902773562";Basavanagudi;Bakery;NULL;Bakery;"24, Next to Roti Ghar, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";400;Desserts
"KC Das - Sweet Spot";No;No;3.6;46;"+91 9845173245";Basavanagudi;"Sweet Shop, Quick Bites";NULL;"Mithai, Street Food";"20, East Anjenaya Temple Street, Basavanagudi, Bangalore";200;Desserts
"Sugar Stars Co";No;No;NULL;0;"+91 8007845315";Basavanagudi;Bakery;NULL;"Bakery, Desserts";"58, Surveyor Street, Basavanagudi, Bangalore";300;Desserts
"Diabetics Dezire Sugarless Sweets and Bakes";Yes;No;3.3;13;"+91 9035515333
080 41692690";Basavanagudi;"Dessert Parlor, Sweet Shop";NULL;"Desserts, Mithai";"92/1, Gandhi Bazaar Main Road, Basavangudi. Next to Vodafone Showroom, Basavanagudi, Bangalore";300;Desserts
"Cake Yard";Yes;No;3.3;9;"080 22977700
+91 7899761078";Basavanagudi;"Dessert Parlor";NULL;Desserts;"44/1, Bull Temple Road, Near Dodda Ganapati Temple, Basavanagudi, Bangalore";250;Desserts
"Iceberg Icecreams";Yes;No;4;43;"+91 9035709035";Basavanagudi;"Dessert Parlor";NULL;"Desserts, Ice Cream";"23/1, Shop Street Road, Basavanagudi, Bangalore";250;Desserts
"A2B Veg - Adyar Ananda Bhavan";Yes;No;2.7;97;"080 26621222
080 41203999";Basavanagudi;"Casual Dining";"Masala Dosa";"South Indian, North Indian, Chinese, Street Food";"200, Next to Canara Bank, KG Road, Gandhi Bazaar, Basavanagudi, Bangalore";400;Desserts
"Bombay Kulfis";No;No;NULL;0;"+91 8971042098";"JP Nagar";"Dessert Parlor";NULL;"Ice Cream";"1, 24th Main Rd, 1st Phase, Girinagar, KR Layout, Muneshwara T-Block, JP Nagar, Bangalore";200;Desserts
"Sri Krishna Sweets";Yes;No;3.7;22;"080 26603727";Basavanagudi;"Sweet Shop";NULL;"Mithai, Desserts";"121, DVG Road, R.M Complex, Basavanagudi, Bangalore";250;Desserts
"Cake Art";No;No;3.5;15;"+91 7676002255";Basavanagudi;"Bakery, Quick Bites";NULL;Bakery;"1/A, 3rd Main, 7th Cross, Kattebalag, Narasimharaja Colony, Basavanagudi, Bangalore";400;Desserts
Cakecraft;No;No;NULL;0;"+91 9738477480";Jayanagar;Takeaway;NULL;Desserts;"42/12, 3rd Floor, SV Residency, 1st Cross, North Main, Opposite Yediyur Lake, 6th Block, Jayanagar, Bangalore";350;Desserts
"Asha Sweets Centre";Yes;No;3.6;27;"+91 9448616782
+91 9448879289";Basavanagudi;"Dessert Parlor";NULL;"Fast Food";"26/3, Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Bangalore";250;Desserts
"My Tea House";Yes;Yes;NULL;0;"080 49652475";Banashankari;"Casual Dining";NULL;"Continental, Asian, North Indian, Tea";"572, 30th Main, 3rd Stage, Banashankari, Bangalore";500;Dine-out
"The Krishna Grand";Yes;No;3.9;888;"080 26711192
+91 7022268193";Banashankari;"Casual Dining";"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat";"North Indian, South Indian, Chinese, Fast Food, Juices";"1, Monotype, 2nd Stage, Banashankari, Bangalore";750;Dine-out
"Sea Spice by 7 Star";Yes;Yes;4;349;"080 49653393";Banashankari;"Casual Dining";"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry";"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab";"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore";1,200;Dine-out
"Mini Punjabi Dhaba";Yes;No;4.2;287;"+91 9845044074
+91 7406012344";Banashankari;"Quick Bites";"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri";"North Indian";"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore";350;Dine-out
Onesta;Yes;Yes;4.6;2556;"080 48653961
080 48655715";Banashankari;"Casual Dining, Cafe";"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza";"Pizza, Cafe, Italian";"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore";600;Dine-out
Wamama;Yes;Yes;4.2;354;"+91 8042111599
+91 8971818009";Banashankari;"Casual Dining";"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll";"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos";"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore";800;Dine-out
Jalsa;Yes;Yes;4.1;775;"080 42297555
+91 9743772233";Banashankari;"Casual Dining";"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup";"North Indian, Mughlai, Chinese";"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore";800;Dine-out
Vinny's;Yes;Yes;4.2;2115;"080 26716795";Banashankari;"Casual Dining";"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad";"Pizza, Italian, Continental, Desserts";"2467, 24th Cross, 2nd Stage, Banashankari, Bangalore";800;Dine-out
Jcubez;No;Yes;3.8;977;"+91 9740425235
+91 8746006497";Banashankari;Lounge;"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries";"Finger Food";"1431, 22nd Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore";1,300;Dine-out
"Gustoes Beer House";No;No;4.1;868;"080 49653521";Banashankari;Pub;"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings";"Continental, Italian, Mexican, North Indian, Chinese, Steak";"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore";1,200;Dine-out
"Penthouse Cafe";Yes;No;4;324;"+91 8884135549
+91 9449449316";Banashankari;Cafe;"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches";"Cafe, Italian, Continental";"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore";700;Dine-out
"Spice Elephant";Yes;No;4.1;787;"080 41714161";Banashankari;"Casual Dining";"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani";"Chinese, North Indian, Thai";"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore";800;Dine-out
Smacznego;Yes;No;4.2;504;"+91 9945230807
+91 9743804471";Banashankari;Cafe;"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos";"Cafe, Mexican, Italian, Momos, Beverages";"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore";550;Dine-out
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley";Yes;No;4.1;402;"080 26724489
+91 7406048982";Banashankari;Cafe;"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe";Cafe;"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore";500;Dine-out
"Cafe Shuffle";Yes;Yes;4.2;150;"+91 9742166777";Banashankari;Cafe;"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos";"Cafe, Italian, Continental";"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari";600;Dine-out
"The Coffee Shack";Yes;Yes;4.2;164;"+91 9731644212";Banashankari;Cafe;"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread";"Cafe, Chinese, Continental, Italian";"6th Block, 3rd Stage, Banashankari, Bangalore";500;Dine-out
"Peppy Peppers";No;No;4.2;244;"+91 8042297555
+91 7022455300";Banashankari;"Casual Dining";"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup";"Italian, North Indian, Mexican";"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore";800;Dine-out
"Anna Kuteera";Yes;No;4;771;"+91 9620009302";Banashankari;"Casual Dining";"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa";"South Indian, North Indian, Chinese";"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore";450;Dine-out
"Szechuan Dragon";Yes;No;4.2;1647;"00 919663567711
+91 9916326323";Banashankari;"Casual Dining";"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken";"Chinese, Thai, Momos";"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore";600;Dine-out
1947;No;Yes;4;808;"080 26791213
+91 9739989446";Banashankari;"Casual Dining";"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup";"North Indian, Chinese";"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore";850;Dine-out
Caf-Eleven;No;No;4;424;"080 49577715";Banashankari;Cafe;"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino";"Cafe, Continental";"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore";450;Dine-out
Thamboola;Yes;No;3.9;135;"080 26711258
+91 9845154172";Banashankari;"Casual Dining";"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala";"North Indian, Chinese, Continental";"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore";800;Dine-out
Ferment;No;No;NULL;0;"+91 9916896096";Banashankari;"Casual Dining, Bar";NULL;Continental;"309, Outer Ring Road, Kathriguppe 4th Phase, Gururaja Layout, Banashankari, Bengaluru";1,000;Dine-out
"Havyaka Mess";No;No;3.9;28;"+91 9243195843
+91 9243404670";Banashankari;Mess;NULL;"South Indian";"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore";300;Dine-out
"San Churro Cafe";Yes;No;3.8;918;"+91 9663487993";Banashankari;"Cafe, Casual Dining";"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza";"Cafe, Mexican, Italian";"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore";800;Dine-out
"Cafe Vivacity";Yes;No;3.8;90;"080 26768182
+91 9845704455";Banashankari;Cafe;"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges";Cafe;"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore";650;Dine-out
"Chung Wah";Yes;No;3.9;519;"080 41553388
+91 8041604095";Banashankari;"Casual Dining";"Tom Yum Soup, Wine, Spring Roll, Singapore Noodles, Manchow Soup, Golden Fried Prawns, Lamb";"Chinese, Momos, Thai, Vietnamese";"14, 2nd Floor, Panchanjanya Tower, Phase III, 3rd Stage, 100 Feet Road, Banashankari, Bangalore";900;Dine-out
"Vietnamese Kitchen";Yes;No;3.6;105;"080 26697884
080 26697883";Banashankari;"Casual Dining";"Pho, Papaya Salad, Coffee, Veg Momos, Rolls";Vietnamese;"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore";700;Dine-out
"Blue Wings Bar & Restaurant";No;No;3.7;43;"+91 9845731913";Banashankari;"Bar, Casual Dining";NULL;"North Indian, Chinese";"488/1, 7th Main Road, 50 Feet Road, Hannumantha Nagar, Banashankari, Bangalore";700;Dine-out
"Anand Sweets and Savouries";No;No;3.7;46;"080 26716111
080 42124151";Banashankari;"Sweet Shop, Quick Bites";NULL;"Mithai, Street Food";"70, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore";400;Dine-out
Catch-up-ino;Yes;No;3.9;133;"+91 9972988038
+91 9900121238";Banashankari;Cafe;"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi";"Cafe, Fast Food, Continental, Chinese, Momos";"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore";800;Dine-out
"Kirthi's Biryani";Yes;No;3.8;144;"080 26711554
+91 9741406338";Banashankari;Cafe;"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails";"Chinese, Cafe, Italian";"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore";700;Dine-out
"T3H Cafe";No;No;3.9;93;"+91 8884726600";Banashankari;Cafe;"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata";"Cafe, Italian, American";"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore";300;Dine-out
"Srikrishna Bhavan";Yes;No;3.8;42;"+91 9590895055
+91 9845664745";Banashankari;"Quick Bites";"Roti, Masala Dosa";"South Indian, North Indian, Chinese";"Next To BMTC Bus Stand, Banashankari, Bangalore";300;Dine-out
"Dal Tadkaa";Yes;No;2.5;247;"080 26691763
+91 9620138000";Banashankari;"Casual Dining";"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka";"North Indian";"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore";500;Dine-out
"360 Atoms Restaurant And Cafe";Yes;No;3.1;13;"+91 9880594520";Banashankari;Cafe;NULL;"Cafe, Chinese, Continental, Italian";"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore";400;Dine-out
"New Imperial Restaurant";No;No;3.7;39;"080 26714439";Banashankari;"Casual Dining";NULL;"North Indian, Chinese";"39/3C, Banashankari, Bangalore";450;Dine-out
"The Vintage Cafe";Yes;No;3;62;"+91 9880016665
+91 8217311687";Banashankari;Cafe;"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea";"Cafe, French, North Indian";"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore";400;Dine-out
"Green Gardenia";Yes;No;3.8;160;"080 26698822
+91 9945704570";Banashankari;"Casual Dining";"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti";"North Indian, Chinese";"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore";700;Dine-out
"Parimala Sweets";No;No;3.5;14;"+91 9738013203
080 49524132";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"1142, 22nd Cross, 30th Main, Banashankari, Bangalore";200;Dine-out
"Vaishali Deluxe";No;No;3.8;42;"+91 9886092321
+91 8861776666";Banashankari;"Casual Dining";NULL;"North Indian, Chinese";"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore";700;Dine-out
"Paradise Premium";Yes;No;3.1;119;"+91 9535474849";Banashankari;"Casual Dining";NULL;"Biryani, Andhra, Hyderabadi, North Indian";"224/Y, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore";700;Dine-out
"Kadala Tarangaa";Yes;No;3.6;129;"+91 9743491480
+91 9483528275";Banashankari;"Casual Dining";"Sea Food, Neer Dosa";"Mangalorean, Seafood, North Indian";"27, 27th Cross, 1st Floor, Kadamba Complex, 2nd Stage, Banashankari, Bangalore";600;Dine-out
"My Tea House";Yes;Yes;NULL;0;"080 49652475";Banashankari;"Casual Dining";NULL;"Continental, Asian, North Indian, Tea";"572, 30th Main, 3rd Stage, Banashankari, Bangalore";500;Dine-out
"Vi Ra's Bar and Restaurant";No;No;3.3;62;"+91 9845063930
+91 7411148111";Banashankari;Bar;"Chilli Chicken";"South Indian, North Indian, Chinese";"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore";800;Dine-out
"Annapooraneshwari Mess";No;No;NULL;0;"+91 9742009518";Banashankari;Mess;NULL;"South Indian";"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore";200;Dine-out
